,pred_list,terms,count
59,"9,9,9,9,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0,9,9,9,9,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0,9,9,9,9,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0,9,9,9,9,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0,9,9,9,9,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0","[SS,[BB,mulnn,[BK,[addnn,3],getDot]],[BK,[subnn,3],getDot]]",18
60,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,6,12,16,16,4,8,12,16,2,4,6,8,0,0,0,0,0,0,0,0,9,16,16,16,6,12,16,16,3,6,9,12,0,0,0,0,0,0,0,0,12,16,16,16,8,16,16,16,4,8,12,16,0,0,0,0,0,0,0,0","[SS,[BB,mulnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BK,[subnn,3],getDot]]",20
61,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,2],[BK,[mulnn,2],getStripe]]",22
62,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,3],[BK,[mulnn,2],getStripe]]",18
63,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,4],[BK,[mulnn,2],getStripe]]",22
64,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7","[CC,[BB,subnn,[BK,[mulnn,2],getStripe]],1]",7
65,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,8,8,8,8,0,0,0,0,4,4,4,4,8,8,8,8,12,12,12,12,16,16,16,16,0,0,0,0,6,6,6,6,12,12,12,12,16,16,16,16,16,16,16,16,0,0,0,0,8,8,8,8,16,16,16,16,16,16,16,16,16,16,16,16","[SB,[B,mulnn,getDot],[BK,[mulnn,2],getStripe]]",12
66,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16","[BB,[mulnn,2],[SK,[B,mulnn,getStripe],getStripe]]",32
67,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6,0,3,6,9,0,3,6,9,0,3,6,9,0,3,6,9,0,3,6,9,0,4,8,12,0,4,8,12,0,4,8,12,0,4,8,12,0,4,8,12","[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getStripe]",7
68,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12","[CS,[BB,mulnn,[CK,[B,subnn,getStripe],1]],[B,I,I]]",13
69,"1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,5,4,3,2,5,4,3,2,5,4,3,2,5,4,3,2,5,4,3,2","[BB,[subnn,2],[BC,[B,subnn,[B,I,I]],getStripe]]",10
70,"1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BS,[B,mulnn,[B,I,I]],[BK,[subnn,1],getStripe]]",20
71,"6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0,15,15,15,15,10,10,10,10,5,5,5,5,0,0,0,0,0,0,0,0,16,16,16,16,12,12,12,12,6,6,6,6,0,0,0,0,0,0,0,0","[SS,[BB,mulnn,[BK,[addnn,2],getStripe]],[BK,[subnn,3],getDot]]",18
72,"2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2","[SB,[B,addnn,getDot],[BK,[subnn,2],getStripe]]",8
73,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,5,0,1,3,5,0,1,3,5,0,1,3,5,0,1,3,5,0,3,6,9,0,3,6,9,0,3,6,9,0,3,6,9,0,3,6,9,1,5,9,13,1,5,9,13,1,5,9,13,1,5,9,13,1,5,9,13","[CC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],3]",4
74,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,1,4,7,0,1,4,7,0,1,4,7,0,1,4,7,0,1,4,7,0,2,6,10,0,2,6,10,0,2,6,10,0,2,6,10,0,2,6,10","[SS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[BC,[K,addnn,2],getStripe]]",2
75,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6,1,4,7,10,1,4,7,10,1,4,7,10,1,4,7,10,1,4,7,10,2,6,10,14,2,6,10,14,2,6,10,14,2,6,10,14,2,6,10,14","[CC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],2]",3
76,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0","[SS,[BB,subnn,[BC,[K,addnn,2],getStripe]],[CB,[B,mulnn,getStripe],[B,I,I]]]",2
77,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,8,8,8,8,0,0,0,0,3,3,3,3,6,6,6,6,9,9,9,9,12,12,12,12","[SB,[B,mulnn,getDot],[CK,[B,subnn,getStripe],1]]",3
78,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12","[SB,[B,mulnn,getStripe],[CK,[B,subnn,getStripe],1]]",5
79,"4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,4],[SK,[B,addnn,getStripe],getDot]]",14
80,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","[SB,[B,subnn,getDot],[BK,[subnn,4],getStripe]]",6
81,"0,0,0,0,0,1,2,3,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,3,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,3,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,3,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,3,0,0,2,4,0,0,0,3,0,0,0,0","[SB,[B,mulnn,getDot],[BC,[B,subnn,[B,I,I]],getDot]]",9
82,"0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,8,8,8,8,0,0,0,0,3,3,3,3,6,6,6,6,9,9,9,9,12,12,12,12,0,0,0,0,4,4,4,4,8,8,8,8,12,12,12,12,16,16,16,16,0,0,0,0,5,5,5,5,10,10,10,10,15,15,15,15,16,16,16,16","[SB,[B,mulnn,getDot],[BK,[addnn,1],getStripe]]",5
83,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16","[SB,[B,mulnn,getStripe],[BK,[addnn,1],getStripe]]",23
84,"2,4,6,8,0,2,4,6,0,0,2,4,0,0,0,2,0,0,0,0,2,4,6,8,0,2,4,6,0,0,2,4,0,0,0,2,0,0,0,0,2,4,6,8,0,2,4,6,0,0,2,4,0,0,0,2,0,0,0,0,2,4,6,8,0,2,4,6,0,0,2,4,0,0,0,2,0,0,0,0,2,4,6,8,0,2,4,6,0,0,2,4,0,0,0,2,0,0,0,0","[BB,[mulnn,2],[BC,[B,subnn,[B,I,I]],getDot]]",23
85,"3,6,9,12,0,3,6,9,0,0,3,6,0,0,0,3,0,0,0,0,3,6,9,12,0,3,6,9,0,0,3,6,0,0,0,3,0,0,0,0,3,6,9,12,0,3,6,9,0,0,3,6,0,0,0,3,0,0,0,0,3,6,9,12,0,3,6,9,0,0,3,6,0,0,0,3,0,0,0,0,3,6,9,12,0,3,6,9,0,0,3,6,0,0,0,3,0,0,0,0","[BB,[mulnn,3],[BC,[B,subnn,[B,I,I]],getDot]]",33
86,"4,8,12,16,0,4,8,12,0,0,4,8,0,0,0,4,0,0,0,0,4,8,12,16,0,4,8,12,0,0,4,8,0,0,0,4,0,0,0,0,4,8,12,16,0,4,8,12,0,0,4,8,0,0,0,4,0,0,0,0,4,8,12,16,0,4,8,12,0,0,4,8,0,0,0,4,0,0,0,0,4,8,12,16,0,4,8,12,0,0,4,8,0,0,0,4,0,0,0,0","[BB,[mulnn,4],[BC,[B,subnn,[B,I,I]],getDot]]",20
87,"1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2","[BB,[subnn,2],[BC,[B,subnn,[B,I,I]],getDot]]",15
88,"3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3,7,6,5,4,3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3,7,6,5,4,3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3,7,6,5,4,3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3,7,6,5,4,3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3,7,6,5,4","[BB,[subnn,4],[BC,[B,subnn,[B,I,I]],getDot]]",17
89,"0,0,0,0,3,3,3,3,6,6,6,6,9,9,9,9,12,12,12,12,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,8,8,8,8,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[SS,[BK,mulnn,getDot],[BK,[subnn,3],getStripe]]",1
90,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[SS,[BK,mulnn,getStripe],[BK,[subnn,3],getStripe]]",1
91,"0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6","[BS,[B,subnn,[B,I,I]],[SC,[KK,subnn,2],getStripe]]",1
92,"1,4,9,16,0,2,6,12,0,0,3,8,0,0,0,4,0,0,0,0,1,4,9,16,0,2,6,12,0,0,3,8,0,0,0,4,0,0,0,0,1,4,9,16,0,2,6,12,0,0,3,8,0,0,0,4,0,0,0,0,1,4,9,16,0,2,6,12,0,0,3,8,0,0,0,4,0,0,0,0,1,4,9,16,0,2,6,12,0,0,3,8,0,0,0,4,0,0,0,0","[BS,[B,mulnn,[B,I,I]],[BC,[B,subnn,[B,I,I]],getDot]]",12
93,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,16,0,2,6,12,0,0,3,8,0,0,0,4,0,0,0,0,2,8,16,16,0,4,12,16,0,0,6,16,0,0,0,8,0,0,0,0,3,12,16,16,0,6,16,16,0,0,9,16,0,0,0,12,0,0,0,0,4,16,16,16,0,8,16,16,0,0,12,16,0,0,0,16,0,0,0,0","[SS,[BB,mulnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[SC,[KB,subnn,[B,I,I]],getDot]]",4
94,"3,6,9,12,0,2,4,6,0,0,1,2,0,0,0,0,3,2,1,0,3,6,9,12,0,2,4,6,0,0,1,2,0,0,0,0,3,2,1,0,3,6,9,12,0,2,4,6,0,0,1,2,0,0,0,0,3,2,1,0,3,6,9,12,0,2,4,6,0,0,1,2,0,0,0,0,3,2,1,0,3,6,9,12,0,2,4,6,0,0,1,2,0,0,0,0,3,2,1,0","[SS,[BB,mulnn,[BK,[subnn,3],getDot]],[SC,[KB,subnn,[B,I,I]],getDot]]",6
95,"2,4,6,8,0,2,4,6,0,0,2,4,0,0,0,2,0,0,0,0,3,6,9,12,0,3,6,9,0,0,3,6,0,0,0,3,0,0,0,0,4,8,12,16,0,4,8,12,0,0,4,8,0,0,0,4,0,0,0,0,5,10,15,16,0,5,10,15,0,0,5,10,0,0,0,5,0,0,0,0,6,12,16,16,0,6,12,16,0,0,6,12,0,0,0,6,0,0,0,0","[SS,[BB,mulnn,[BK,[addnn,2],getStripe]],[BC,[B,subnn,[B,I,I]],getDot]]",4
96,"1,4,9,16,0,1,4,9,1,0,1,4,4,1,0,1,9,4,1,0,1,4,9,16,0,1,4,9,1,0,1,4,4,1,0,1,9,4,1,0,1,4,9,16,0,1,4,9,1,0,1,4,4,1,0,1,9,4,1,0,1,4,9,16,0,1,4,9,1,0,1,4,4,1,0,1,9,4,1,0,1,4,9,16,0,1,4,9,1,0,1,4,4,1,0,1,9,4,1,0","[SS,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[BC,[B,subnn,[B,I,I]],getDot]]",3
97,"9,12,15,16,6,8,10,12,3,4,5,6,0,0,0,0,0,0,0,0,9,12,15,16,6,8,10,12,3,4,5,6,0,0,0,0,0,0,0,0,9,12,15,16,6,8,10,12,3,4,5,6,0,0,0,0,0,0,0,0,9,12,15,16,6,8,10,12,3,4,5,6,0,0,0,0,0,0,0,0,9,12,15,16,6,8,10,12,3,4,5,6,0,0,0,0,0,0,0,0","[SS,[BB,mulnn,[BK,[subnn,3],getDot]],[KB,[addnn,2],[B,I,I]]]",6
98,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,3],[BK,[mulnn,3],getStripe]]",16
99,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[mulnn,4],[SK,[K,subnn,1],getStripe]]",5
100,"4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0","[BB,[subnn,4],[BK,[mulnn,2],getDot]]",10
101,"0,0,0,0,2,2,2,2,8,8,8,8,16,16,16,16,16,16,16,16,0,0,0,0,2,2,2,2,8,8,8,8,16,16,16,16,16,16,16,16,0,0,0,0,2,2,2,2,8,8,8,8,16,16,16,16,16,16,16,16,0,0,0,0,2,2,2,2,8,8,8,8,16,16,16,16,16,16,16,16,0,0,0,0,2,2,2,2,8,8,8,8,16,16,16,16,16,16,16,16","[SB,[B,mulnn,getDot],[BK,[mulnn,2],getDot]]",2
102,"0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0","[SS,[BB,mulnn,[SK,[K,subnn,3],getDot]],[SC,[KK,mulnn,2],getDot]]",4
103,"0,0,0,0,0,2,4,6,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,6,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,6,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,6,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,6,0,0,4,8,0,0,0,6,0,0,0,0","[SS,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[SC,[KK,mulnn,2],getDot]]",2
104,"0,0,0,0,2,2,2,2,6,6,6,6,12,12,12,12,16,16,16,16,0,0,0,0,2,2,2,2,6,6,6,6,12,12,12,12,16,16,16,16,0,0,0,0,2,2,2,2,6,6,6,6,12,12,12,12,16,16,16,16,0,0,0,0,2,2,2,2,6,6,6,6,12,12,12,12,16,16,16,16,0,0,0,0,2,2,2,2,6,6,6,6,12,12,12,12,16,16,16,16","[SB,[B,mulnn,getDot],[BK,[addnn,1],getDot]]",5
105,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,2,2,2,2,4,4,4,4,6,6,6,6,8,8,8,8,10,10,10,10,3,3,3,3,6,6,6,6,9,9,9,9,12,12,12,12,15,15,15,15,4,4,4,4,8,8,8,8,12,12,12,12,16,16,16,16,16,16,16,16","[SB,[B,mulnn,getStripe],[BK,[addnn,1],getDot]]",7
106,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,3,5,7,1,3,5,7,1,3,5,7,1,3,5,7,1,3,5,7,2,5,8,11,2,5,8,11,2,5,8,11,2,5,8,11,2,5,8,11,3,7,11,15,3,7,11,15,3,7,11,15,3,7,11,15,3,7,11,15","[CC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],1]",2
107,"0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4","[SB,[B,subnn,getDot],[BC,[B,subnn,[B,I,I]],getDot]]",5
108,"0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6","[SS,[BK,subnn,getDot],[BK,[subnn,2],getStripe]]",4
109,"1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BS,[B,subnn,[B,I,I]],[BK,[mulnn,2],getStripe]]",7
110,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9","[SS,[BB,subnn,[SK,[B,addnn,getStripe],getStripe]],[BK,[subnn,3],getDot]]",3
111,"4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0","[BB,[mulnn,2],[KB,[subnn,3],[B,I,I]]]",17
112,"6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0","[BB,[mulnn,3],[KS,[K,subnn,3],[B,I,I]]]",3
113,"8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0","[BB,[mulnn,4],[KS,[K,subnn,3],[B,I,I]]]",3
114,"4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1","[BB,[addnn,1],[KB,[subnn,4],[B,I,I]]]",4
115,"0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0","[SB,[B,mulnn,getDot],[KS,[K,subnn,3],[B,I,I]]]",5
