,pred_list,terms,count
0,"0,0,0,0,1,2,3,4,2,4,6,8,3,6,9,12,4,8,12,16,0,0,0,0,0,1,2,3,1,3,5,7,2,5,8,11,3,7,11,15,0,0,0,0,0,0,1,2,0,2,4,6,1,4,7,10,2,6,10,14,0,0,0,0,0,0,0,1,0,1,3,5,0,3,6,9,1,5,9,13,0,0,0,0,0,0,0,0,0,0,2,4,0,2,5,8,0,4,8,12","[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getDot]],getStripe]",1
1,"0,0,0,0,1,2,3,4,2,4,6,8,3,6,9,12,4,8,12,16,0,0,0,0,0,1,2,3,0,2,4,6,0,3,6,9,0,4,8,12,0,0,0,0,0,0,1,2,0,0,2,4,0,0,3,6,0,0,4,8,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[SB,[B,mulnn,getDot],[BC,[B,subnn,[B,I,I]],getStripe]]",1
