,terms,log_prob
78,"[SS,[KK,mulnn,num],PM(""egg_num_num"")]",-4.1588830833596715
79,"[BB,[subnn,num],PM(""egg_num_num"")]",-2.772588722239781
80,"[BK,[subnn,num],PM(""egg_num"")]",-2.772588722239781
81,"[BC,[B,subnn,PM(""num_num"")],PM(""egg_num"")]",-3.4657359027997265
82,"[BC,[K,subnn,num],PM(""egg_num"")]",-3.4657359027997265
83,"[BS,[B,subnn,PM(""num_num"")],PM(""egg_num_num"")]",-3.4657359027997265
84,"[BS,[K,subnn,num],PM(""egg_num_num"")]",-3.4657359027997265
85,"[KB,[subnn,num],PM(""num_num"")]",-2.772588722239781
86,"[KK,[subnn,num],num]",-2.772588722239781
87,"[KC,[B,subnn,PM(""num_num"")],num]",-3.4657359027997265
88,"[KC,[K,subnn,num],num]",-3.4657359027997265
89,"[KS,[B,subnn,PM(""num_num"")],PM(""num_num"")]",-3.4657359027997265
90,"[KS,[K,subnn,num],PM(""num_num"")]",-3.4657359027997265
91,"[CB,[B,subnn,PM(""egg_num"")],PM(""num_num"")]",-3.4657359027997265
92,"[CB,[K,subnn,num],PM(""num_num"")]",-3.4657359027997265
93,"[CK,[B,subnn,PM(""egg_num"")],num]",-3.4657359027997265
94,"[CK,[K,subnn,num],num]",-3.4657359027997265
95,"[CC,[BB,subnn,PM(""egg_num_num"")],num]",-4.1588830833596715
96,"[CC,[BK,subnn,PM(""egg_num"")],num]",-4.1588830833596715
97,"[CC,[KB,subnn,PM(""num_num"")],num]",-4.1588830833596715
98,"[CC,[KK,subnn,num],num]",-4.1588830833596715
99,"[CS,[BB,subnn,PM(""egg_num_num"")],PM(""num_num"")]",-4.1588830833596715
100,"[CS,[BK,subnn,PM(""egg_num"")],PM(""num_num"")]",-4.1588830833596715
101,"[CS,[KB,subnn,PM(""num_num"")],PM(""num_num"")]",-4.1588830833596715
102,"[CS,[KK,subnn,num],PM(""num_num"")]",-4.1588830833596715
103,"[SB,[B,subnn,PM(""egg_num"")],PM(""egg_num_num"")]",-3.4657359027997265
104,"[SB,[K,subnn,num],PM(""egg_num_num"")]",-3.4657359027997265
105,"[SK,[B,subnn,PM(""egg_num"")],PM(""egg_num"")]",-3.4657359027997265
106,"[SK,[K,subnn,num],PM(""egg_num"")]",-3.4657359027997265
107,"[SC,[BB,subnn,PM(""egg_num_num"")],PM(""egg_num"")]",-4.1588830833596715
108,"[SC,[BK,subnn,PM(""egg_num"")],PM(""egg_num"")]",-4.1588830833596715
109,"[SC,[KB,subnn,PM(""num_num"")],PM(""egg_num"")]",-4.1588830833596715
110,"[SC,[KK,subnn,num],PM(""egg_num"")]",-4.1588830833596715
111,"[SS,[BB,subnn,PM(""egg_num_num"")],PM(""egg_num_num"")]",-4.1588830833596715
112,"[SS,[BK,subnn,PM(""egg_num"")],PM(""egg_num_num"")]",-4.1588830833596715
113,"[SS,[KB,subnn,PM(""num_num"")],PM(""egg_num_num"")]",-4.1588830833596715
114,"[SS,[KK,subnn,num],PM(""egg_num_num"")]",-4.1588830833596715
