,condition,batch,trial,mean,variance
0,construct,A,1,3.299987030693096,0.4434039970780554
1,construct,A,2,3.2999814609957223,0.44344075463657057
2,construct,A,3,3.2999912080709706,0.4433764361347429
3,construct,A,4,3.2999800685587495,0.44344994296295476
4,construct,A,5,3.29998563831721,0.44341319013281016
5,construct,A,6,3.29997032151641,0.4435142610305484
6,construct,A,7,3.2999870307494845,0.44340400125347984
7,construct,A,8,3.299960574509903,0.4435785792401192
8,construct,B,1,1.949763497312989,0.47188404370921744
9,construct,B,2,1.2686707927346497,2.8087985243804465
10,construct,B,3,2.876613677627777,0.5262374574874858
11,construct,B,4,0.540314574456497,0.49906686140490886
12,construct,B,5,1.707021093372747,1.4823039995652683
13,construct,B,6,-0.007358997011705171,2.3208607103575116
14,construct,B,7,2.610934119881165,2.7845957902426886
15,construct,B,8,-0.03640263441837899,4.337273797844687
16,combine,A,1,3.299987030693096,0.4434039970780554
17,combine,A,2,3.2999814609957223,0.44344075463657057
18,combine,A,3,3.2999912080709706,0.4433764361347429
19,combine,A,4,3.2999800685587495,0.44344994296295476
20,combine,A,5,3.29998563831721,0.44341319013281016
21,combine,A,6,3.29997032151641,0.4435142610305484
22,combine,A,7,3.2999870307494845,0.44340400125347984
23,combine,A,8,3.299960574509903,0.4435785792401192
24,combine,B,1,1.9362710223782198,0.4360936648599396
25,combine,B,2,1.1753637027580144,2.792737380378447
26,combine,B,3,2.6433547075326516,0.43760627979817857
27,combine,B,4,0.4502002304392576,0.6408164569115091
28,combine,B,5,1.6718533951710377,1.8432494093320808
29,combine,B,6,-0.04064487018375118,2.651764278409314
30,combine,B,7,2.7741852222133216,2.7053301405408123
31,combine,B,8,-0.1123445336801705,4.391032028233874
32,decon,A,1,0.4266270340214634,2.1542753217026482
33,decon,A,2,0.7441324520455791,1.7239634757717908
34,decon,A,3,1.51435965637675,1.0090838528961683
35,decon,A,4,0.6373946189286288,0.4192325159162476
36,decon,A,5,1.51435965637675,1.0090838528961683
37,decon,A,6,0.7441324520455791,1.7239634757717908
38,decon,A,7,0.8682147990098341,1.9192962562769946
39,decon,A,8,0.15863671586631772,2.2444491098963373
40,decon,B,1,1.9497634973129951,0.4718840437090967
41,decon,B,2,1.268670792734647,2.8087985243797293
42,decon,B,3,2.876613677627777,0.5262374574873482
43,decon,B,4,0.5403145744564948,0.49906686140477835
44,decon,B,5,1.7070210933727479,1.482303999564887
45,decon,B,6,-0.007358997011707391,2.3208607103569165
46,decon,B,7,2.610934119881165,2.7845957902419776
47,decon,B,8,-0.03640263441838143,4.337273797843582
48,flip,A,1,2.997427516469249,0.3321741205074886
49,flip,A,2,0.9985713357808643,1.6589683874092316
50,flip,A,3,1.999428165330863,0.3321732904860255
51,flip,A,4,4.396372155213157e-12,0.3321732904859118
52,flip,A,5,0.9988569112532499,1.3275540999022724
53,flip,A,6,-0.9968597683301843,1.6589692155343982
54,flip,A,7,2.9905786018345144,2.9827326755050763
55,flip,A,8,-0.9954355605063391,3.313200659632116
56,flip,B,1,1.936271022374986,0.4360936648443303
57,flip,B,2,1.1753637027839963,2.792737380333951
58,flip,B,3,2.643354707540425,0.4376062797830391
59,flip,B,4,0.4502002304532686,0.6408164568859034
60,flip,B,5,1.6718533951891894,1.8432494092750256
61,flip,B,6,-0.04064487016793539,2.651764278333178
62,flip,B,7,2.7741852222638457,2.7053301404996346
63,flip,B,8,-0.11234453366853936,4.3910320282255695
